english,malay,definition
Parallel Corpus,korpus selari,"Set besar teks yang diterjemahkan di antara dua bahasa atau lebih, digunakan untuk melatih sistem terjemahan mesin statistik atau berasaskan neural."
Parameter,parameter,"Kuantiti dalam model pembelajaran mesin yang dipelajari dari data latihan dan digunakan untuk membuat ramalan pada data baharu, seperti pemberat dalam rangkaian neural."
partial derivative,Terbitan Separa,"Terbitan multivariat yang mengukur kadar perubahan fungsi berkenaan dengan satu pemboleh ubah, dengan menganggap semua pemboleh ubah lain sebagai malar."
perceptron,perseptron,"Jenis rangkaian neural yang paling asas, yang terdiri daripada satu neuron dengan pemberat boleh laras dan bias, yang melakukan pengelasan linear berdasarkan fungsi langkah."
perplexity,kekeliruan,"Ukuran prestasi model bahasa yang menilai keupayaan model untuk meramalkan sampel teks baharu, berdasarkan kebarangkalian yang diberikan oleh model kepada setiap token dalam urutan."
pipeline,talian paip,"Aliran kerja pembelajaran mesin yang menggabungkan berbilang langkah pemprosesan secara berjujukan, seperti prapemprosesan data, pengekstrakan ciri, pemilihan model, dan pascapemprosesan, untuk membina sistem ramalan lengkap."
pooling,pengumpulan; penggemblengan,Operasi dalam rangkaian neural konvolusi yang menggabungkan output neuron dari kawasan berhampiran untuk mengurangkan dimensi ruang ciri dan memperkenalkan sifat ketidakpekaan kepada translasi kecil.
pooling layer,lapisan penggemblengan,"Lapisan dalam rangkaian neural konvolusi yang mengurangkan dimensi ruang input dengan mengagregat nilai dari kawasan berhampiran, biasanya menggunakan operasi max atau purata, untuk mengurangkan bilangan parameter dan meningkatkan invarians terjemahan."
positional encoding,pengekodan kedudukan,"Teknik yang digunakan dalam model Transformer untuk menyuntik maklumat kedudukan ke dalam perwakilan input, membolehkan model mengenal pasti susunan unsur dalam urutan."
posterior distillation,penyulingan posterior,Teknik untuk mempelajari perwakilan padat dan bermaklumat tinggi dari model kompleks dengan memaksimumkan persamaan antara taburan posterior model kompleks dan model yang lebih ringkas.
precision,kepersisan,"Metrik penilaian dalam masalah pengelasan yang mengukur pecahan ramalan positif yang betul-betul positif, menunjukkan keupayaan model untuk mengelak pelabelan contoh negatif sebagai positif."
precision-recall curve,lengkung ketepatan-ingatan,"Teknik visualisasi untuk menilai prestasi sistem dapatan semula maklumat atau pengelasan, melakarkan ketepatan (pecahan contoh yang didapatkan semula yang relevan) berbanding daya ingatan (pecahan contoh relevan yang berjaya didapatkan semula) pada ambang yang berbeza."
predictor,peramal,"Model atau algoritma yang digunakan untuk membuat ramalan berdasarkan input data, seperti dalam masalah regresi atau pengelasan."
pre-trained model,model pra-latih,"Model pembelajaran mesin yang telah dilatih sebelumnya pada set data yang besar untuk tugas umum, yang boleh disesuaikan untuk tugas hiliran yang lebih khusus melalui pemindahan pembelajaran atau penalaan halus."
pretraining,pra-latihan,"Teknik melatih model pada tugas umum yang besar atau set data tidak berlabel sebelum menala halus pada tugas sasaran yang lebih khusus, sering digunakan dalam model bahasa dan pemprosesan visi untuk meningkatkan prestasi dan kecekapan latihan."
Principal component analysis,Analisis Komponen Utama,"Teknik pengurangan dimensi yang mengubah set ciri yang mungkin berkorelasi kepada set komponen tidak berkorelasi yang lebih kecil, mengekalkan sebanyak mungkin variasi dalam data asal."
probabilistic regression model,model regresi kebarangkalian,"Kelas model yang meramalkan taburan kebarangkalian ke atas pemboleh ubah output berterusan, dan bukannya anggaran titik tunggal, membolehkan ukuran ketidakpastian dalam ramalan."
probability density function,fungsi ketumpatan kebarangkalian; fungsi kepadatan kebarangkalian,"Fungsi yang menerangkan taburan kebarangkalian relatif pemboleh ubah rawak berterusan, di mana kebarangkalian pemboleh ubah terletak dalam julat tertentu adalah kamiran fungsi ke atas julat tersebut."
probability distribution,taburan kebarangkalian,Fungsi yang memberikan kebarangkalian kejadian setiap hasil yang mungkin dalam ruang sampel.
prompt,arahan,Mesej atau arahan yang dipaparkan oleh sistem komputer untuk meminta input atau maklum balas daripada pengguna.; Teks input atau rangsangan yang digunakan untuk menjana tindak balas daripada sistem pemprosesan bahasa tabii atau kecerdasan buatan 
propagate,rambat,"Menyebarkan isyarat atau nilai melalui rangkaian neural, sama ada ke hadapan (perambatan hadapan) untuk mengira output atau ke belakang (perambatan balik) untuk mengemas kini pemberat berdasarkan ralat."
pruning,memangkas; mencantas,"Teknik untuk mengurangkan saiz dan kompleksiti model pembelajaran mesin dengan membuang parameter atau unit yang kurang penting, sering digunakan untuk pemampatan model atau pengurangan lebihan."
Q-function,fungsi-Q,"Fungsi yang memetakan pasangan keadaan-tindakan kepada ganjaran dijangka dalam pembelajaran peneguhan, digunakan untuk menilai dasar dan mempelajari dasar optimum."
Q-learning,pembelajaran Q,"Algoritma pembelajaran peneguhan tanpa model yang digunakan untuk mempelajari dasar optimum untuk masalah pembuatan keputusan Markov, berdasarkan pengemaskinian nilai Q yang berulang untuk menilai utiliti jangka panjang tindakan dalam setiap keadaan."
quadtree,pepohon kuadran,"Struktur data pepohon di mana setiap nod dalaman mempunyai tepat empat anak, biasanya digunakan untuk memecahkan ruang dua dimensi secara rekursif kepada sukuan untuk penyimpanan dan capaian cekap."
Quantization,pengkuantuman; kuantisasi,"Proses menukar nilai berterusan kepada nilai diskret, sering digunakan untuk pemampatan model dengan mewakili pemberat dan pengaktifan menggunakan bilangan bit yang lebih rendah."
RAdam,,"Variasi kepada pengoptimum Adam berasaskan kadar adaptif yang diselaraskan, menggantikan anggaran momen berasaskan masa discounting dengan peratusan yang dibuang untuk mengurangkan ketaktentuan pada kajian permulaan."
random,rawak,"Berkaitan dengan proses atau pemilihan yang bergantung pada peluang dan bukannya corak atau alasan yang boleh ditentukan, sering digunakan dalam pelbagai aspek pembelajaran mesin seperti pemilihan subset data atau pengawalan parameter."
recall,ingat-kembali,"Metrik penilaian dalam masalah pengelasan yang mengukur pecahan positif sebenar yang dikenal pasti dengan betul oleh model, menunjukkan keupayaan model untuk mencari semua contoh positif."
recurrent,berulang,"Berkaitan dengan rangkaian neural yang memproses input secara bersiri atau berturutan, di mana output bagi setiap langkah bergantung pada keadaan tersembunyi yang dihasilkan pada langkah-langkah sebelumnya."
recurrent neural network,rangkaian neural berulang,"Kelas rangkaian neural yang merangkumi gelung maklum balas, membolehkannya memproses urutan data dengan bergantung pada keadaan dalaman yang mewakili maklumat konteks dari langkah-langkah sebelumnya."
recursive,rekursif,"Merujuk kepada proses atau algoritma yang ditakrifkan menggunakan dirinya sendiri, di mana masalah dipecahkan kepada submasalah yang lebih kecil dan serupa secara berulang."
regression,regresi,"Kelas tugas pembelajaran mesin di mana matlamatnya adalah untuk meramalkan nilai berterusan berdasarkan input, seperti meramalkan harga rumah atau permintaan jualan."
regularization,pengaturan; regularisasi,"Teknik untuk mengurangkan kompleksiti model dan mengelakkan penyesuaian lebih (overfitting) dengan menambah sebutan penalti pada fungsi kos, mengenakan kekangan pada pemberat model atau lapisan rangkaian neural."
reinforcement learning,pembelajaran peneguhan,"Cabang pembelajaran mesin di mana ejen belajar strategi optimum melalui interaksi percubaan dan ralat dengan persekitaran, di mana tindakan membawa kepada ganjaran atau hukuman."
ReLU,Rectified Linear Unit;,"Fungsi pengaktifan biasa dalam rangkaian neural, yang mengembalikan nilai input jika positif dan sifar jika sebaliknya, membantu mengurangkan masalah kehilangan kecerunan."
reparameterization,parameteran semula; pemparameteran semula,"Teknik yang digunakan dalam model variasi seperti autoencoder variasi (VAE) untuk mengekspresikan persampelan dari taburan kebarangkalian sebagai transformasi penentu pada pemboleh ubah rawak bebas, membolehkan pengiraan kecerunan dan pengoptimuman fungsi kos."
reshape,pembentukkan semula,"Operasi yang mengubah bentuk tensor atau tatasusunan tanpa mengubah nilai elemennya, digunakan untuk menyesuaikan data dengan keperluan bentuk input model."
residual blok,blok sisa,"Komponen dalam rangkaian neural yang mempelajari fungsi sisa iaitu perbezaan antara input dan output dijangka, dan menambahnya semula ke input asal untuk membolehkan pembelajaran ciri tambahan dan mengatasi masalah pengurangan kecerunan (vanishing gradient)."
residual network,rangkaian sisa,"Seni bina CNN yang memperkenalkan sambungan pintasan untuk melangkau satu atau lebih lapisan, membolehkan pembelajaran fungsi sisa dan mengurangkan masalah penyusutan atau letupan gradien dalam rangkaian dalam."
retrieval-augmented generation,penjanaan tertingkat-dapatan semula,"Paradigma penjanaan teks yang menggabungkan carian berasaskan dapatan semula dengan penjanaan bahasa, dengan mencari maklumat yang berkaitan dari pangkalan pengetahuan atau korpus sebelum menjana output teks menggunakan model bahasa."
reward,ganjaran,"Maklum balas positif atau negatif yang diterima oleh ejen dalam pembelajaran peneguhan (reinforcement learning), sebagai petunjuk prestasi tindakan yang diambil dalam persekitaran tertentu."
RMSProp,RMSprop,"Algoritma pengoptimuman yang menyesuaikan kadar pembelajaran bagi setiap parameter berdasarkan purata bergerak nilai mutlak kecerunan terkini, membantu menangani masalah kadar pembelajaran yang sesuai dalam rangkaian neural."
Seasonal Auto-Regressive Integrated Moving Average,Purata Bergerak Bersepadu AutoRegresif Bermusim,Lanjutan model ARIMA yang mengendalikan kesan bermusim dalam data dengan memasukkan sebutan bermusim dalam persamaan model.
Seasonal Decomposition of Time Series,Penguraian Bermusim Siri Masa,"Teknik yang memisahkan siri masa kepada komponen bermusim, trend, dan baki, membolehkan analisis dan tafsiran setiap komponen secara berasingan."
self-attention,perhatian-kendiri,"Mekanisme dalam pembelajaran mendalam yang membolehkan elemen dalam urutan menghadiri elemen lain dalam urutan yang sama untuk mempelajari perwakilan konteks, banyak digunakan dalam pemprosesan bahasa dan penglihatan komputer."
self-organizing maps,peta swaorganisasi,"Sejenis rangkaian neural tanpa pengawasan yang menghasilkan perwakilan berdimensi rendah (biasanya 2D) dari data berdimensi tinggi, dengan mengekalkan hubungan topologi antara vektor input."
Semantic Segmentation,Segmentasi Semantik,"Tugas penglihatan komputer untuk mengklasifikasikan setiap piksel dalam imej kepada kelas semantik yang telah ditetapkan, seperti orang, kereta, atau bangunan, menghasilkan peta segmentasi yang menunjukkan rantau objek yang berbeza."
semi-supervised learning,pembelajaran semi-diselia,"Pendekatan pembelajaran mesin yang menggabungkan data berlabel dan tidak berlabel untuk melatih model, di mana data berlabel yang terhad dilengkapkan dengan data tidak berlabel yang banyak untuk meningkatkan prestasi."
Sequence-to-Sequence,jujukan-ke-jujukan,"Seni bina model yang terdiri daripada pengekod yang memproses urutan input dan penyahkod yang menjana urutan output, banyak digunakan dalam tugas seperti terjemahan mesin atau ringkasan teks."
shape,bentuk,"Dimensi tatasusunan atau tensor, menerangkan saiz setiap dimensi data."
shot,contoh; sampel,Data atau maklumat yang disampelkan daripada taburan yang lebih besar untuk digunakan dalam analisis atau penilaian prestasi model.; Bilangan sampel yang digunakan untuk membuat kesimpulan dalam teknik pembelajaran seperti pembelajaran satu contoh (one-shot learning).
siamese network,rangkaian siam,"Seni bina rangkaian neural yang terdiri daripada dua atau lebih rangkaian serupa yang dikongsi pemberat, digunakan untuk mempelajari metrik kesamaan antara input dengan mengukur jarak antara perwakilan yang dipelajari."
Sigmoid,sigmoid,"Fungsi pengaktifan lengkung 'S' yang memampatkan input nyata kepada julat antara 0 dan 1, sering digunakan dalam lapisan tersembunyi rangkaian neural dan dalam regresi logistik binari."
skip connection,langkauan sambungan,"Sambungan dalam rangkaian neural yang melangkau satu atau lebih lapisan, membolehkan aliran maklumat terus dari lapisan awal ke lapisan yang lebih dalam, mengatasi masalah kecerunan melenyap (vanishing gradient) dan memudahkan latihan."
SMOTE,Teknik Pensampelan Lebih Minoriti Sintentik ,"Algoritma untuk mengatasi ketidakseimbangan kelas dengan menjana sampel sintetik baharu dari kelas minoriti, dengan menginterpolasi antara sampel minoriti sedia ada."
Softmax,Softmaks,"Fungsi pengaktifan yang digunakan dalam lapisan output rangkaian neural untuk tugas pengelasan berbilang kelas, yang menormalisasi output kepada taburan kebarangkalian ke atas kelas output."
sorting,pengisihan,"Proses menyusun elemen dalam senarai atau tatasusunan mengikut susunan tertentu, seperti menaik atau menurun, berdasarkan nilai atau kekunci."
Sparse Autoencoders,pengekod-auto jarang,"Jenis rangkaian neural yang dilatih untuk mempelajari perwakilan padat data input sambil menggalakkan pengaktifan jarang dalam lapisan tersembunyi, berguna untuk pengekstrakan ciri, pengurangan dimensi, dan pemampatan data."
sparse feature,ciri jarang,"Ciri dengan nilai sifar untuk majoriti sampel, sering ditemui dalam perwakilan teks seperti perwakilan beg perkataan di mana kebanyakan dokumen hanya mengandungi sebilangan kecil perkataan dari keseluruhan perbendaharaan kata."
speaker diarization,penyimpanan pembicara,"Tugas memecahkan aliran audio kepada segmen mengikut identiti pembicara, biasanya sebagai langkah prapemprosesan dalam aplikasi pemprosesan pertuturan seperti transkripsi mesyuarat atau analisis perbualan."
spiking neural network,rangkaian neural denyut,"Jenis rangkaian neural yang lebih biologis realistik, di mana neuron berkomunikasi melalui denyutan diskret dan temporal berbanding nilai pengaktifan berterusan, bertujuan untuk meniru pemprosesan maklumat dalam otak dengan lebih tepat."
stacking,penindanan; tindan,"Kaedah ensemble di mana ramalan dari berbilang model asas digabungkan menggunakan model meta yang belajar memetakan ramalan kepada ramalan akhir, sering digunakan dalam pertandingan pembelajaran mesin."
standard deviation,sisihan piawai,"Ukuran serakan statistik yang mengukur jumlah variasi atau sebaran set data dari min, dikira sebagai punca kuasa dua varians."
standardization,pempiawaian; standardisasi,"Proses transformasi ciri input dengan mengurangkan min dan membahagikan dengan sisihan piawai, menghasilkan taburan dengan min sifar dan varians unit, yang sering membantu menstabilkan dan mempercepatkan latihan model."
Statistical Machine Translation,Terjemahan Mesin statistik,"Paradigma terjemahan mesin yang berdasarkan analisis statistik selari korpus dwibahasa, dengan menggunakan model bahasa dan model terjemahan untuk menghasilkan terjemahan paling mungkin bagi ayat input."
Statistical Significance,Kepentingan Statistik,"Ukuran kebarangkalian bahawa pemerhatian atau hasil tidak disebabkan oleh peluang, menunjukkan kewujudan kesan atau hubungan sebenar dalam populasi."
stochastic,stokastik,"Bersifat rawak atau tidak dapat diramalkan, sering digunakan untuk menggambarkan proses atau algoritma yang melibatkan unsur kebarangkalian atau ketidakpastian."
Stochastic Depth,kedalaman stokastik,"Teknik pengaturan yang digunakan dalam rangkaian neural dalam, di mana lapisan dilangkau secara rawak semasa latihan untuk mengurangkan masa latihan dan meningkatkan pengitlakan."
Stochastic Differential Equation,Persamaan Pembezaan Stokastik,"Model matematik untuk proses stokastik yang terdiri daripada sebutan resapan dan sebutan hanyutan, menggambarkan evolusi rawak pemboleh ubah yang berterusan."
stochastic gradient descent,penurunan kecerunan stokastik,"Varian penurunan kecerunan yang mengemas kini parameter model berdasarkan kecerunan yang dikira pada subset data latihan yang dipilih secara rawak (kelompok) pada setiap lelaran, mempercepatkan penumpuan dan mengurangkan risiko terperangkap dalam minimum tempatan."
stride,peningkah,"Parameter yang menentukan saiz langkah konvolusi atau operasi penggemblengan, mengawal jumlah pertindihan antara rantau berhampiran dan dimensi output."
Style Transfer,Pemindahan Gaya,"Tugas menjana semula imej atau teks dalam gaya berlainan sambil mengekalkan kandungan asas, sering dilakukan menggunakan rangkaian neural berlawanan atau pendekatan berasaskan pengoptimuman."
subword tokenization,tokenisasi subperkataan,"Kaedah memecahkan perkataan kepada unit yang lebih kecil (subperkataan) berdasarkan kekerapan dalam korpus, seperti dalam algoritma Byte Pair Encoding (BPE) atau WordPiece, membolehkan pengendalian perkataan di luar perbendaharaan kata dengan gabungan subperkataan."
Superconvergence,superkonvergen,"Fenomenon di mana rangkaian neural menumpu dengan lebih cepat daripada jangkaan semasa latihan, selalunya dicapai dengan kombinasi teknik seperti penjadualan kadar pembelajaran, saiz kelompok, dan pengaturan."
supervised learning,pembelajaran berpenyelia,"Jenis pembelajaran mesin di mana model dilatih pada data input berlabel dengan output yang sepadan, dengan matlamat untuk belajar fungsi pemetaan umum yang dapat meramalkan output untuk input baharu."
Support Vector Machine,Mesin Vektor Sokongan,"Algoritma pembelajaran mesin yang bertujuan untuk mencari hipersatah (hyperplane) optimum yang memaksimumkan margin antara dua kelas dalam ruang ciri berdimensi tinggi, digunakan untuk pengelasan, regresi, dan pengesanan anomali."
Tacotron,Tacotron,"Sistem sintesis pertuturan hujung ke hujung yang menukar input teks kepada spektogram Mel, yang kemudian digunakan oleh model pensintesis berpandukan neural untuk menjana bentuk gelombang pertuturan."
tanh,tanh; hyperbolic tangent; tangen hiperbolaan,"fungsi hiperbolik tangen, fungsi pengaktifan biasa dalam rangkaian neural yang memampatkan nilai input kepada julat antara -1 dan 1."
temperature,suhu,"Parameter dalam model pembelajaran mesin yang mengawal tahap keyakinan atau rawak dalam membuat ramalan, dengan suhu yang lebih tinggi menghasilkan ramalan yang kurang yakin atau lebih pelbagai."
temperature sampling,pensampelan suhu,"Teknik pensampelan dari model bahasa di mana taburan kebarangkalian pada langkah penjanaan ditingkatkan atau dikurangkan menggunakan parameter suhu, membolehkan kawalan terhadap kepelbagaian dan kreativiti output."
Term Frequency-Inverse Document Frequency,Kekerapan Istilah-Terbalikan Kekerapan Dokumen,"Statistik berangka yang mencerminkan kepentingan perkataan dalam dokumen dari korpus, digunakan sebagai ciri dalam pemprosesan bahasa semula jadi dan dapatan semula maklumat."
Texture Synthesis,Sintesis Tekstur,"Proses penjanaan imej tekstur baharu yang secara statistik serupa dengan sampel tekstur input, digunakan dalam grafik komputer, penglihatan komputer, dan pemprosesan imej."
Time Series Forecasting,Ramalan Siri Masa,"Tugas meramalkan nilai masa depan dalam siri masa berdasarkan pemerhatian masa lalu, dengan menggunakan pelbagai teknik statistik dan pembelajaran mesin."
token,token,"Unit berasingan yang mewakili sebahagian dari data input, seperti perkataan, aksara, atau subperkataan dalam pemprosesan bahasa, atau rantau imej dalam pemprosesan visi."
tokenization,tokenisasi,"Proses memecahkan data input kepada unit berasingan yang dipanggil token, seperti memecahkan kalimat kepada perkataan atau aksara, sering menjadi langkah prapemrosesan dalam tugas pembelajaran mesin."
top-k sampling,pensampelan top-k,"Kaedah pensampelan dari model bahasa di mana k token teratas dengan kebarangkalian tertinggi dipertimbangkan pada setiap langkah penjanaan, mengehadkan ruang carian dan menggalakkan output yang lebih munasabah."
Train/Test Split,Perpisahan Latih/Uji,"Teknik untuk menilai prestasi model pembelajaran mesin dengan membahagikan set data kepada subset latihan dan ujian, di mana model dilatih pada subset latihan dan dinilai pada subset ujian untuk anggaran prestasi yang tidak bias."
training,latihan,"Proses pembelajaran parameter model daripada data latihan melalui pengoptimuman fungsi kos, biasanya dilakukan secara lelaran menggunakan algoritma seperti penurunan kecerunan (gradient descent)."
Training Set,Set Latihan,"Subset data yang digunakan untuk melatih model pembelajaran mesin, dengan melaraskan parameter model untuk meminimumkan fungsi kerugian pada set ini."
transfer learning,pembelajaran pindahan; pembelajaran pemindahan,"Teknik pembelajaran mesin di mana model yang dilatih pada satu tugasan digunakan sebagai titik permulaan atau diadaptasi untuk tugasan yang berkaitan, membolehkan pembelajaran yang lebih cepat dan berkesan pada tugasan baharu dengan menggunakan semula pengetahuan yang diperoleh."
transformer,transformer,"Model pembelajaran mesin yang bergantung sepenuhnya pada mekanisme perhatian untuk mempelajari perhubungan global dalam data urutan, diperkenalkan dalam kertas ""Attention is All You Need"" untuk tugas terjemahan mesin."
transformer architecture,seni bina transformer,"Seni bina rangkaian neural yang bergantung sepenuhnya pada mekanisme perhatian untuk mempelajari perhubungan jangka panjang, menggantikan operasi konvolusi dan berulang, banyak digunakan dalam pemprosesan bahasa semula jadi dan penglihatan komputer."
translation invariance,ketakvarianan terjemahan,"Sifat di mana sistem atau model menghasilkan output yang sama apabila imej atau isyarat diterjemahkan (digerakkan) dalam ruang, kerap dicapai melalui lapisan konvolusi dalam rangkaian neural."
tuning,penalaan,"Proses melaraskan hiperparameter model pembelajaran mesin untuk mendapatkan prestasi optimum pada set data tertentu, sering dilakukan melalui carian grid atau pengoptimuman Bayesian."
uncertainty,ketidakpastian,"Ukuran keyakinan atau kepastian model tentang ramalan yang dibuatnya, boleh dianggarkan menggunakan teknik seperti pensampelan Monte Carlo atau rangkaian Bayesian."
underfitting,suaipadan terkurangan; kurang suaipadan,"Keadaan apabila model tidak dapat mempelajari corak yang mendasari dalam data latihan, mengakibatkan prestasi yang lemah pada kedua-dua set latihan dan ujian."
undersampling,pensampelan kurang,"Pendekatan untuk menangani ketidakseimbangan kelas dalam set data dengan mengurangkan bilangan sampel dari kelas majoriti, sama ada dengan membuang sampel secara rawak atau memilih subset wakil."
u-net architecture,seni bina U-Net,"Seni bina CNN yang biasa digunakan untuk segmentasi imej, terdiri daripada laluan pengecutan untuk menangkap konteks dan laluan pengembangan untuk menghasilkan peta segmentasi, dinamakan sempena bentuk U struktur rangkaiannya."
unidirectional,sehala; searah,"Merujuk kepada aliran maklumat dalam satu arah, seperti dalam rangkaian neural suap hadapan di mana maklumat bergerak dari lapisan input ke lapisan output tanpa gelung maklum balas."
Unit Selection Synthesis,Sintesis Pemilihan Unit,"Teknik sintesis pertuturan yang menjana pertuturan dengan mencantum segmen rakaman pertuturan yang dipilih dari pangkalan data besar, dengan matlamat untuk menghasilkan pertuturan yang semulajadi dan fasih."
Unit Step Function,fungsi Heaviside; Fungsi Langkah Unit,"Fungsi matematik yang mengambil nilai 0 untuk input negatif dan 1 untuk input positif, kadangkala digunakan sebagai fungsi pengaktifan dalam rangkaian neural."
unsupervised learning,pembelajaran tanpa penyelia,"Jenis pembelajaran mesin di mana model cuba mempelajari struktur terpendam dalam set data tanpa label atau maklum balas eksplisit, seperti dalam tugas penggugusan (clustering) atau pengurangan dimensi."
validation set,set pengesahsahihan,"Subset data yang digunakan untuk menilai prestasi model semasa latihan, membantu mengesan penyesuaian lampau dan menala hiperparameter, tetapi tidak digunakan secara langsung untuk mengemas kini parameter model."
vanishing gradient,kecerunan melenyap,"Masalah yang berlaku semasa melatih rangkaian neural mendalam, di mana kecerunan menjadi sangat kecil apabila disebar-balik melalui banyak lapisan, menjadikan pembelajaran parameter dalam lapisan awal menjadi sangat perlahan atau terhenti."
variational autoencoder,pengekod-auto variasi,"Generatif model yang menggabungkan rangka kerja autoencoder dengan pemodelan taburan kebarangkalian, membolehkan penjanaan sampel baharu dengan menyampaikan kod pendam dari taburan prior."
variational bound,batas variasi,"Nilai had atas atau had bawah yang digunakan dalam model variasi seperti autoencoder variasi (VAE), untuk menganggar taburan kebarangkalian sebenar daripada data dalam model statistik."
Vision Transformer,transformer penglihatan,"Model yang menggunakan seni bina Transformer untuk tugas penglihatan komputer seperti pengelasan, pengesanan objek, dan segmentasi semantik."
Vocoder,Pengekod Suara,"Sistem untuk menganalisis dan mensintesis ucapan manusia, sering digunakan dalam sintesis ucapan, pemampatan ucapan, dan pemprosesan isyarat audio."
Wasserstein loss,kerugian Wasserstein,"Fungsi kerugian yang digunakan dalam latihan rangkaian penyahkod-auto berlawanan (GAN), berdasarkan jarak Wasserstein antara taburan data sebenar dan taburan yang dijana, menghasilkan latihan yang lebih stabil berbanding fungsi kerugian lain."
WaveNet,WaveNet,"Model audio generatif yang digunakan untuk mensintesis bentuk gelombang ucapan secara langsung, membolehkan ucapan realistik dengan ciri emosi dan konteks."
Weight Regularization,Pengaturan Pemberat,"Teknik untuk mengurangkan penyesuaian lampau dalam rangkaian neural dengan menambah penalti kepada magnitud pemberat dalam fungsi kerugian, menggalakkan model yang lebih mudah dan lebih umum."
weighted sum,hasi tambah berpemberat,"Operasi yang mengira jumlah input yang didarabkan dengan pemberat yang sepadan, digunakan secara meluas dalam rangkaian neural untuk menggabungkan maklumat dari berbilang sumber."
weights,pemberat,"Parameter boleh dipelajari dalam rangkaian neural yang menentukan kekuatan sambungan antara neuron, dilaraskan semasa latihan untuk meminimumkan fungsi kos dan meningkatkan prestasi model."
wide model,model lebar,"Seni bina rangkaian neural dengan banyak unit pada setiap lapisan, membolehkannya mempelajari perwakilan yang kaya dan pelbagai dari data."
width,lebar; kelebaran,"Bilangan unit atau neuron dalam satu lapisan rangkaian neural, mencerminkan keupayaan perwakilan lapisan tersebut."
word embedding,pembenaman perkataan,"Teknik pemprosesan bahasa tabii di mana perkataan diwakilkan sebagai vektor berterusan berdimensi rendah yang menangkap makna dan konteks perkataan tersebut, membolehkan operasi matematik pada perwakilan perkataan."
Word2Vec,Word2Vec,"Algoritma pembelajaran mesin yang digunakan untuk menjana perwakilan vektor perkataan (pembenaman perkataan) dari korpus teks besar, menangkap hubungan semantik dan sintaksis antara perkataan."
XGBoost,Extreme Gradient Boosting; Pengalakkan Kecerunan Ekstreme,"Algoritma pembelajaran ensembel yang melatih susunan pepohon keputusan secara berjujukan, dengan setiap pohon berikutnya cuba membetulkan kesalahan pohon sebelumnya. Ia digunakan secara meluas untuk tugas regresi dan pengelasan."
zero-shot learning,pembelajaran tanpa contoh,"Senario pembelajaran mesin di mana model perlu mengklasifikasikan contoh daripada kelas yang belum pernah dilihat semasa latihan, dengan bergantung pada penerangan atau maklumat semantik mengenai kelas tersebut."
